,count,mean,std,min,25%,50%,75%,max
CRIM,323.0,3.8820443653250774,9.680410273798257,0.00632,0.082865,0.25387,3.9440549999999996,88.9762
ZN,323.0,12.23374613003096,24.323780134311082,0.0,0.0,0.0,19.0,100.0
INDUS,323.0,11.121795665634675,6.8766169997931765,0.46,5.19,8.56,18.1,27.74
CHAS,323.0,0.0804953560371517,0.27248067196275305,0.0,0.0,0.0,0.0,1.0
NOX,323.0,0.553682972136223,0.11862474913215589,0.385,0.4475,0.532,0.624,0.871
RM,323.0,6.276934984520124,0.6910506620349847,3.561,5.8865,6.193,6.6665,8.78
AGE,323.0,68.27987616099071,28.45225701376189,2.9,43.55,77.7,93.9,100.0
DIS,323.0,3.8647486068111454,2.1549718096085804,1.1296,2.12035,3.3603,5.2379,12.1265
RAD,323.0,9.721362229102168,8.801983578078026,1.0,4.0,5.0,24.0,24.0
TAX,323.0,406.5882352941176,170.3655572320166,187.0,279.0,329.0,666.0,711.0
B,323.0,359.1456037151703,89.2520501175064,0.32,376.355,391.93,396.1,396.9
LSTAT,323.0,12.733529411764707,7.251568726506719,1.73,7.0649999999999995,11.45,17.155,37.97
